DELITOS O FALTAS;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Homicidios y femicidios;3;1;0;1;0;1;1;0;0;1;2;2
Violaciones y otros delitos sexuales;22;26;28;26;37;27;24;27;25;47;37;35
Lesiones graves o gravísimas;9;8;10;8;12;3;8;13;17;12;9;3
Lesiones menos graves;13;15;12;12;16;10;14;12;7;11;19;8
Lesiones leves;53;75;89;73;73;60;64;85;79;92;90;88
Amenazas;232;223;256;230;214;205;225;267;229;267;265;260
Robos con violencia o intimidación;42;43;38;37;44;35;32;39;40;32;40;44
Robo por sorpresa;18;19;23;17;17;20;22;12;10;15;13;12
Violencia intrafamiliar;253;230;261;231;215;218;235;240;277;257;251;245
Delitos asociados a drogas;26;21;34;31;39;40;36;40;46;57;37;23
Crímenes y simples delitos ley de armas;33;6;32;30;19;36;53;34;33;57;31;36
Porte de arma cortante o punzante;10;21;11;24;20;25;16;19;16;18;19;18
Robos en lugar habitado y no habitado;139;132;152;125;200;176;191;163;149;112;120;146
Robos de vehículo motorizado o de sus accesorios;98;79;77;65;110;87;75;68;55;74;67;73
Otros robos con fuerza en las cosas;16;12;18;5;7;9;16;14;8;23;10;5
Hurtos;226;186;209;203;217;199;198;190;189;213;177;197
Receptación;19;6;13;17;13;12;19;17;12;12;19;10
Amenaza falta o riña;9;15;10;8;7;12;8;5;14;9;8;11
Consumo de alcohol y drogas en la vía pública;657;652;749;536;473;435;657;902;910;865;783;727
Daños;197;179;215;219;223;218;222;195;204;226;226;223
Desórdenes públicos;1;4;0;4;0;3;1;3;1;2;0;4
Otras incivilidades;99;66;80;44;48;55;101;117;101;111;94;89
Otros delitos o faltas;1.228;1.188;1.469;1.337;1.368;1.273;1.352;1.489;1.317;1.436;1.243;1.259
