COMUNAS;HOMICIDIOS Y FEMICIDIOS;VIOLACIONES Y OTROS DELITOS SEXUALES;LESIONES GRAVES O GRAVÍSIMAS;LESIONES MENOS GRAVES;LESIONES LEVES;AMENAZAS;ROBOS CON VIOLENCIA O INTIMIDACIÓN;ROBO POR SORPRESA;VIOLENCIA INTRAFAMILIAR;CRÍMENES Y SIMPLES DELITOS LEY DE DROGAS;CRÍMENES Y SIMPLES DELITOS LEY DE ARMAS;PORTE DE ARMA CORTANTE O PUNZANTE;ROBOS EN LUGAR HABITADO Y NO HABITADO;ROBOS DE VEHÍCULO MOTORIZADO O DE SUS ACCESORIOS;OTROS ROBOS CON FUERZA EN LAS COSAS;HURTOS;RECEPTACIÓN;AMENAZA FALTA O RIÑA;CONSUMO DE ALCOHOL Y DROGAS EN LA VÍA PÚBLICA;DAÑOS;DESÓRDENES PÚBLICOS;OTRAS INCIVILIDADES;OTROS DELITOS O FALTAS
   Puerto Montt;12;361;112;149;921;2873;466;198;2913;430;400;217;1805;928;143;2404;169;116;8346;2547;23;1005;15959
   Calbuco;2;57;23;30;124;415;12;2;464;14;32;7;110;7;11;170;7;16;854;306;0;130;1849
   Cochamó;0;4;1;4;13;35;1;0;46;0;2;0;10;0;2;10;1;2;46;37;0;8;182
   Fresia;1;15;11;9;38;122;4;0;102;0;13;0;41;4;40;46;3;6;269;77;0;26;482
   Frutillar;1;40;6;14;103;234;12;5;219;27;15;11;149;43;3;116;5;9;225;186;3;48;989
   Los Muermos;0;15;3;14;51;110;1;1;140;9;40;4;38;2;4;50;4;3;152;113;1;39;541
   Llanquihue;0;21;23;10;80;168;7;3;189;15;14;8;82;21;6;77;7;13;622;155;1;97;906
   Maullín;0;12;3;6;47;156;3;0;164;11;20;4;56;5;7;71;4;16;142;105;1;48;593
   Puerto Varas;1;58;24;15;125;401;37;27;418;30;25;25;239;137;14;398;11;20;529;446;10;142;2932
   Castro;2;93;29;36;137;471;64;28;401;80;28;36;210;32;9;430;19;33;365;345;3;279;2568
   Ancud;1;61;14;21;137;319;16;8;290;58;32;21;146;11;11;192;9;16;756;306;1;103;2177
   Chonchi;0;15;9;16;29;157;6;3;124;6;5;2;37;4;2;34;2;4;166;76;0;21;596
   Curaco de Vélez;0;5;3;1;5;31;0;0;29;1;2;0;1;0;0;5;0;2;20;22;1;4;102
   Dalcahue;2;23;4;15;57;126;6;1;156;10;7;10;29;2;1;67;0;6;332;123;0;34;635
   Puqueldón;0;4;2;1;3;20;0;0;23;1;2;1;11;0;1;5;0;0;97;8;0;16;120
   Queilén;0;3;1;5;18;51;1;0;28;3;2;2;8;0;0;12;0;2;51;37;1;6;220
   Quellón;0;31;9;16;104;388;30;8;200;35;16;34;65;26;3;183;17;14;441;226;2;61;1502
   Quemchi;0;10;4;5;11;37;0;0;51;2;5;1;9;0;2;12;1;3;54;41;0;10;164
   Quinchao;0;6;1;1;24;60;0;0;49;1;5;1;4;2;0;25;1;9;37;70;0;39;286
   Osorno;8;386;94;109;569;1505;342;173;2255;173;85;90;881;499;48;2381;56;88;1704;1397;13;503;9125
   Puerto Octay;0;18;3;6;27;74;1;1;99;0;5;0;42;4;1;37;3;4;92;75;0;22;389
   Purranque;0;28;12;21;74;171;22;3;153;25;15;7;106;16;12;158;7;4;231;144;0;75;747
   Puyehue;1;17;2;2;29;103;3;0;108;7;28;3;65;2;1;71;5;4;76;87;0;28;457
   Río Negro;0;26;6;14;59;118;5;3;141;6;14;6;99;8;10;78;4;9;165;106;0;56;735
   San Juan de la Costa;3;11;2;8;45;86;1;1;111;1;6;0;26;2;19;27;1;8;24;96;0;24;338
   San Pablo;1;15;0;1;39;96;2;3;153;5;19;2;48;13;13;99;3;4;76;127;0;24;432
   Chaitén;0;3;4;3;12;19;0;0;37;8;1;0;7;2;4;16;0;2;41;38;0;16;222
   Futaleufú;1;3;0;2;14;26;0;0;23;3;6;0;2;0;2;20;0;5;22;48;0;16;169
   Hualaihué;0;18;3;10;32;79;2;1;133;15;1;2;16;1;7;23;8;4;211;86;2;20;388
   Palena;0;1;0;2;6;17;0;0;10;1;1;0;0;0;0;6;0;3;16;20;0;9;238
